series,index,slug,url,transcript_words
background-agents-summit,01,01-summit-2026-what-comes-after-ai-coding-assistants,https://www.youtube.com/watch?v=1VZPX7QD2tk,15584
background-agents-summit,02,02-stripe-minions-alistair-gray,https://www.youtube.com/watch?v=W42t-CoXyuE,38599
background-agents-summit,03,03-cloudflare-assisted-to-delegated-rajesh-bhatia,https://www.youtube.com/watch?v=MbLdrAZFQRs,36928
background-agents-summit,04,04-agent-runtime-security-stephen-parkinson,https://www.youtube.com/watch?v=pg0t9jf5DY4,22073
background-agents-summit,05,05-internal-background-agent-systems-cole-murray,https://www.youtube.com/watch?v=-T_Qc1Vmbtk,25423
background-agents-summit,06,06-genomics-and-cloud-ops-xiucheng-quek,https://www.youtube.com/watch?v=GXDtw0EmoX0,20141
background-agents-summit,07,07-why-prompt-guardrails-fail-falco,https://www.youtube.com/watch?v=XKFKwyFhk8A,23834
background-agents-summit,08,08-context-is-the-new-code-patrick-debois,https://www.youtube.com/watch?v=Pz-vVV0Jmfc,13603
background-agents-summit,09,09-summit-day-1-recap,https://www.youtube.com/watch?v=TrT1ysbWDos,15350
background-agents-summit,10,10-summit-day-2-foundations-to-production,https://www.youtube.com/watch?v=bguL5ZEWbPo,11636
background-agents-summit,11,11-harvey-spectre-joey-wang,https://www.youtube.com/watch?v=2pod6GeckXc,28459
background-agents-summit,12,12-incident-io-ai-sre-lawrence-jones,https://www.youtube.com/watch?v=uG0Jz6kLWV0,28847
background-agents-summit,13,13-software-factory-in-public-zacharias-malguitou,https://www.youtube.com/watch?v=a4pEznCiWNo,26382
background-agents-summit,14,14-uber-minion-nikhil-ramakrishnan,https://www.youtube.com/watch?v=o7G5EHDqQ1g,14177
background-agents-summit,15,15-dark-factories-shardul-vaidya,https://www.youtube.com/watch?v=e7AvdrxsbaU,16967
background-agents-summit,16,16-monzo-regulated-banking-suhail-patel,https://www.youtube.com/watch?v=ptVO89qaxY4,50084
background-agents-summit,17,17-summit-wrap-what-to-build-next,https://www.youtube.com/watch?v=yuVFSvJf8tk,17547
build-in-public-sprint,01,01-day-01-zero-code-zero-repo,https://www.youtube.com/watch?v=4Al_EIVkc6U,22985
build-in-public-sprint,02,02-day-02-setting-up-the-assembly-line,https://www.youtube.com/watch?v=7DtaqZ0dg-k,26174
build-in-public-sprint,03,03-day-03-from-spec-to-issues-with-onas-cto,https://www.youtube.com/watch?v=yL3XEEF3Llw,23619
build-in-public-sprint,04,04-day-04-how-agents-review-each-others-code,https://www.youtube.com/watch?v=ELS-DvDT3Yg,31853
build-in-public-sprint,05,05-day-05-what-the-factory-catches-and-what-it-misses,https://www.youtube.com/watch?v=SgBITxT-LhM,30583
build-in-public-sprint,06,06-day-06-giving-the-factory-taste,https://www.youtube.com/watch?v=7t_52lKysFg,27172
build-in-public-sprint,07,07-day-07-augmenting-the-product-manager,https://www.youtube.com/watch?v=LU8Mo4z4fBI,23532
build-in-public-sprint,08,08-day-08-when-shipping-is-free-what-do-you-cut,https://www.youtube.com/watch?v=-1_NTT9p_0g,34234
build-in-public-sprint,09,09-day-09-platform-or-ground-up,https://www.youtube.com/watch?v=3zlFEva26Eo,37944
build-in-public-sprint,10,10-day-10-how-we-went-from-0-to-factory,https://www.youtube.com/watch?v=00Ndri8q8LU,53919
loop-engineering,01,01-loops-wrong-aijason,https://www.youtube.com/watch?v=JQ_We_ztxrI,17063
loop-engineering,02,02-unleashed-my-agent-aijason,https://www.youtube.com/watch?v=2zhchG0r6iI,20330
loop-engineering,03,03-proactive-agents-self-improving-company,https://www.youtube.com/watch?v=ikH1--DSzMs,12599
loop-engineering,04,04-i-built-a-self-improving-software-factory,https://www.youtube.com/watch?v=ZDOTYfJBuLw,16724
loop-engineering,05,05-boundary-build-a-software-factory,https://www.youtube.com/watch?v=tGbjIvvYuHE,75351
loop-engineering,06,06-harness-engineering-is-not-enough-dex-horthy,https://www.youtube.com/watch?v=Ib5GBkD555M,20909
loop-engineering,07,07-super-simple-software-factory,https://www.youtube.com/watch?v=haUfb1ievTE,35567
